date,Bin00,Bin00_counts_ml,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C),RelativeHumidity(%),#RejectGlitch,#RejectLongTOF,#RejectRatio,#RejectOutOfRange,FanRevCount,LaserStatus,PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
4/23/2019 17:30,4.208,0.812355212,0.601,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,13.67,5.21,4.99,5.18,30.3,29.2,0,0,582,7,0,610,0.04,0.35,1.17,0.05,0.26,4.58
4/23/2019 17:31,3.206,0.615355086,0.401,0.401,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,4.208,4.99,5.21,30.3,29.3,4,0,588,5,0,610,0.05,0.11,0.12,0.05,0.26,4.58
4/23/2019 17:31,3.206,0.615355086,0,0,0,0.401,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3.808,4.99,5.21,30.3,29.2,1,0,612,5,0,609,0.05,0.25,0.3,0.05,0.26,4.4
4/23/2019 17:31,3.607,0.722845691,0.601,0.2,0,0.2,0,0.401,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,12,0,0,0,5.21,4.99,4.99,30.4,29.1,3,0,615,1,0,609,0.06,0.43,7.45,0.05,0.27,4.51
4/23/2019 17:31,3.607,0.7214,0.2,0.401,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67,11.33,0,0,4.609,4.99,5,30.4,29.2,2,0,548,2,0,609,0.06,0.24,0.44,0.05,0.27,4.52
4/23/2019 17:31,2.605,0.518924303,0.601,0.2,0,0.401,0,0.401,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4.409,4.99,5.02,30.4,29.1,1,0,603,4,0,609,0.06,0.5,6.05,0.05,0.29,4.44
4/23/2019 17:31,1.403,0.275098039,0.601,0.401,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,7,10.33,0,12.33,3.006,4.99,5.1,30.4,29,3,0,532,3,0,609,0.05,0.23,7.34,0.05,0.29,4.68
4/23/2019 17:32,3.206,0.624951267,0.601,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67,0,12.33,0,4.409,4.99,5.13,30.4,29.3,2,0,566,3,0,609,0.06,0.21,0.26,0.05,0.28,4.62
4/23/2019 17:32,2.204,0.427131783,0.2,0.601,0,0.2,0,0.2,0,0,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3.808,4.99,5.16,30.5,29.1,2,0,563,6,0,608,0.05,0.39,6.75,0.05,0.28,4.6
4/23/2019 17:32,5.21,1.005791506,1.002,0,0.2,0.2,0.2,0,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8.33,10.67,13.33,7.214,4.99,5.18,30.5,28.9,3,0,591,5,0,609,0.08,0.57,1.86,0.05,0.3,4.49
